ID,NOME_FICTICIO,MCA_STATUS,IDADE,COR,GÊNERO,LOCAL,EDU_TÍTULO,GRAD_IES_CA,GRAD_STEM,PÓS,PUBLIC,LÍNG_EST,MOB_REG,MOB_INTER,QT_CARGOS_MOD,SET_PÚB,SET_PRIV,SET_TERC,P1_STEM,DP_STEM,STEM,STUP_NEXUS,STUP_FIN_FAPESP,STUP_FIN_ANJO,STUP_FIN_COLETIVO,STUP_FIN_CLIENTES,STUP_SÓCIO,STUP_SÓCIO_GEN,STUP_PORTE,STUP_SITUACAO,STUP_CNAE
ID00316,Ademar,Ativo,15-30 anos,PPI,Masculino,Fora da MRVP,Mestre(a),IES privada,Graduação STEM,Pós STEM,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,10+ cargos,Com experiência pública,Sim,Com experiência TS,Sem P1 STEM,Com DP STEM,Transição STEM,Lab,Com FAP,,,,Não,Sem sócio,ME,Ativa,Indústria de transformação (10-33)
ID00052,Adhemar,Ativo,31-45 anos,Branca,Masculino,Em MRVP,Graduado(a),IES privada,Graduação STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,04-06 cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Sem FAP,,,,Sim,Similar,ME,Ativa,Informação e comunicação (58-63)
ID00228,Adoniran,Ativo,46+ anos,PPI,Masculino,Em MRVP,Doutor(a),IES privada,Graduação não-STEM,Pós não-STEM,Publicou,1 LE,Com regionalização,Com internacionalização,10+ cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,Sem anjo,Sem fundos,,Não,Sem sócio,MEI,Ativa,Atividades administrativas e serviços complementares
ID00047,Aécio,Ativo,31-45 anos,PPI,Masculino,Em MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Não publicou,1 LE,Com regionalização,Sem internacionalização,04-06 cargos,Sem experiência pública,Sim,Sem experiência TS,Sem P1 STEM,Com DP STEM,Transição STEM,Growth,Sem FAP,,,,Sim,Similar,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00029,Airton,Ativo,15-30 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Publicou,1 LE,Com regionalização,Sem internacionalização,10+ cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Com FAP,Sem anjo,Sem fundos,Com clientes,Não,Sem sócio,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00106,Alan,Ativo,46+ anos,Branca,Masculino,Fora da MRVP,Doutor(a),IES privada,Graduação STEM,Pós não-STEM,Publicou,2+ LE,Sem regionalização,Com internacionalização,10+ cargos,Com experiência pública,Sim,Com experiência TS,Com P1 STEM,Sem DP STEM,Transição STEM,Lab,Sem FAP,,,,Não,Sem sócio,EPP,Ativa,Educação (85)
ID00046,Aldo,Ativo,31-45 anos,PPI,Masculino,Em MRVP,Mestre(a),IES pública,Graduação STEM,Pós STEM,Publicou,1 LE,Com regionalização,Sem internacionalização,10+ cargos,Com experiência pública,Sim,Com experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Com FAP,,,,Não,Sem sócio,ME,Ativa,"Atividades profissionais, científicas e técnicas (69-75)"
ID00090,Alesson,Ativo,31-45 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES pública,Graduação STEM,Sem pós,Não publicou,2+ LE,Sem regionalização,Sem internacionalização,04-06 cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Não,Sem sócio,EPP,Ativa,Atividades administrativas e serviços complementares
ID00299,Alfredo,Ativo,31-45 anos,Branca,Masculino,Fora da MRVP,Graduado(a),IES privada,Graduação STEM,Sem pós,Não publicou,1 LE,Sem regionalização,Sem internacionalização,10+ cargos,Sem experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Growth,Sem FAP,,,,Sim,Similar,EPP,Ativa,Informação e comunicação (58-63)
ID00036,Álvaro,Ativo,31-45 anos,PPI,Masculino,Fora da MRVP,Doutor(a),IES pública,Graduação STEM,Pós STEM,Publicou,2+ LE,Com regionalização,Com internacionalização,10+ cargos,Com experiência pública,Sim,Sem experiência TS,Com P1 STEM,Com DP STEM,Sempre foi STEM,Lab,Sem FAP,,,,Não,Sem sócio,MEI,Inativa,Informação e comunicação (58-63)
